@relation SentiSe

@attribute lab {0,-1,1}
@attribute text string

@data
0,'\"else { this.services.getAssignmentManager().assign(e.getKey()  true); }\" is called for another assignment. '
0,'\"eVe\". '
0,'\"rich:combobox is not a select component by nature\"_ so what is it then if it is not used for selecting stuff? '
0,'\"That said  check out setReadLength in TBinaryProtocol.\" '
0,'# filter.filterRow() is called *after* filterKeyValue in the normal flow of things. '
0,'# Javadoc in InterDatanodeProtocolServersideTranslator refers to JournalProtocl. '
0,'# Methods deprecation. '
0,'# New TestTopDocsCollector as well as test cases in TestSort. '
0,'# SOLR-1297: sort by function query just needs review and then can be committed. '
0,'#1 and #2 are incorrect. '
0,'#2 wontbe so bad... filters are pretty deep and will be just as efficient as hacking scan query Matcher I think. '
-1,'#NAME? '
0,'#NAME? '
0,'#NAME? '
0,'#NAME? '
0,'#NAME? '
0,'#NAME? '
0,'#NAME? '
0,'#NAME? '
0,'#NAME? '
0,'#NAME? '
0,'\% host  mail.phnx.uswest.net. '
1,'( ddlatham: thats kinda funny that you wrote the linked-to article_- it was a random google search) '
0,'(2) HDFS-4979 introduced RetryCache in the NameNode. '
0,'(A 2GB memstore flush is fine when lzo is on but we want something for default). '
0,'(all you need to add is your derby.jar)  i am testing the derbytest from eclipse. '
0,'(Also: have you verified that the channel will actually infinite-loop returning 0? '
-1,'(back from holidays  so a bit delayed  but) I confirm Andrzej\'s suggestion_- a plain-text only summarized is ideal for clustering for example. '
0,'(Both the patch and the JUnit tests). '
0,'(BTW_ The Idea to retrieve the Document Title is the best solution on my opinion.) '
-1,'(Do nothing  NegativeSentiment   Are you serious about that? '
0,'(for ex. '
0,'(HDFS-2426)_ fixed bugs in getBlockLocations. '
0,'(HDFS-243  PositiveSentiment  _ throw FileNotFoundException if getFileStatus on non-existing file. '
0,'(HDFS-246  PositiveSentiment  _ throw IllegalArgumentException if setOwner with both owner and group empty. '
0,'(HDFS-250  PositiveSentiment  _ changed file checksum json response root from \"MD5MD5CRC32FileChecksum\" to \"FileChecksum\". '
-1,'(How bad is this? '
-1,'(I could not get what KEYWORD means.) '
0,'(ie  this is an AIR bug  not a Snitter bug) '
0,'(If you cast the Runnable in afterExecute to ScheduledFutureTask you can get access to the scheduling info.) '
0,'(looks like these were introduced in cassandra-1714  fwiw  so i am going to tag affects-version to 0.7.1) '
0,'(My 0.8 checkout was on the 0.8.6 tag when I reported that CliTest worked completely.) '
0,'(Ok  as expected ...)  Waiting for a better log  when you will have installed a new server build from 1.0-trunks  then. '
0,'(review board is helpful). '
0,'(Revision 1450575) HADOOP-8917. '
-1,'(sorry if that was confusing) '
0,'(Thanks Arpit for the suggestion.) '
0,'(The cost of randomly reading 1k is nearly the same as randomly reading 100k--both are dominated by seek.) '
0,'(there are other requirements for these types of damages also  all described in 17 usc 401 et seq.) otoh  if you want to waste your time proving *actual infringement damages* for free software  do not bother with a notice  but also do not bother trying to find an attorney to argue your case.   '
0,'(There is no PageManager at all; there is a ContentManager  which will have a very similar API  but it will manage both pages and attachments. '
0,'(things were not as clear at 2am ;))    yes  we should probably definitely be removing the threadlocal entirely. '
0,'(We are retrying once and if we fail twice we give up). '
0,'(will commit after Hudson +1s  that is) '
0,')  then i am ok with that as well. '
0,')_ it should be in AJDT in a couple of days. '
0,'*  he knows that the classes are potentially unstable. '
0,'*  regular business exceptions work. '
0,'* Framework for JMS  db access can be reused. '
0,'* it is impossible to name a column 1 * it is impossible to name a column alias 1  if order by supports this i do not see group by cannot? '
0,'* packages  meaning that Xerces-J 2  is not 100\% Pure Java (it depends on a specific aspect of specific versions of  *Sun* JVMs). '
0,'* properties may or may not match how a SQL engine would store them. '
0,'* property may be as a delimited identifier  e.g. '
-1,'* release of the framework. '
-1,'* replaced treemap with an array of final \'segment\' objects ** (now very slightly faster than trunk) * rebased for trunk * removed the patch renaming sstablereadertest to segmentedfiletest  i did not remove the builder pattern  because the alternative seems pretty ugly (copying the segments array for every append). '
0,'* This is needed since the MappingTool fails if it gets non-persistent capable classes. '
0,'*.. info.ftl might have confused you   PositiveSentiment    Divesh '
-1,'*Damn*  I forgot. '
-1,'*sorry* '
0,'...and it seems like having 2 APIs  KV and Cell  for every method other than those that take Cell-types params... '
0,'.tmp was empty). '
0,'//OdfDocument embedDoc   doc.getEmbeddedDocument(\"Object 7\"); //embedDoc.save(ResourceUtilities.newTestOutputFile(TEST_FILE_EMBEDDED_SAVE_OUT)); //embedDoc   OdfDocument.loadDocument(ResourceUtilities.getTestResourceAsStream(TEST_FILE_EMBEDDED_SAVE_OUT)); //Assert.assertEquals(embedDoc.getMediaType()  OdfMediaType.TEXT.toString());  Svante '
0,'  PositiveSentiment    > except at much worse performance. '
1,'  PositiveSentiment    Best regards  Fabian. '
1,'  PositiveSentiment    i have renamed componentcolorproperty to be componentcolorelement and relationshipaggregation to twistieaggregation. '
1,'  PositiveSentiment    Will have a look. '
0,'  PositiveSentiment   Cheers '
-1,'  PositiveSentiment   Sorry about that. '
1,'  PositiveSentiment   '
0,':org.osgi.compendium-1.0.1artifact and felix-1.0.4 framework '
0,'[~appodictic] Sounds good and thanks! '
0,'[~ashutoshc] Thanks. '
0,'[~ashutoshc] Yeah you are right. '
0,'[~bmahler]  it looks like this can be closed since the Python UI is gone. '
-1,'[~cmccabe]: oh  hell no! '
0,'[~egli]_ can you reproduce? '
0,'[~ikelly] are you trying the right patch? '
0,'[~jbellis] the weird thing is that although *newsstables.size() !  newsstablessize* the assertion does not actually cause an error  so no stack trace  but swapping the assertion (as shown below) yields the stack trace below. '
0,'[~lfryc]  [~bleathem]  [~ppitonak] Do you think guys that those page fragments methods which depend on JSON parsing_ aka various {{setupFromWidget}} should throw {{UnsupportedOperationException}} till this issue is resolved ? '
1,'[~lhofhansl]  thank you so much. '
0,'[~lhofhansl] Yea.... '
0,'[~maxandersen] please review '
0,'[~maysamyabandeh] Got time to look at this today. '
0,'[~saturnism] agreed. '
0,'[~sershe]  please bear with me_ (1) could you please upload a rebased patch. '
-1,'[~shazron]Sorry  that was weird. '
0,'[~shwethags]  Can you please fix this right away ? '
0,'[~smarthi] When I apply this patch  the source code cannot be compiled. '
0,'[~thejas]  could you please have a look at this patch? '
0,'[0] demo_DatePicker.html [1] dynamic.html (3rd form) '
0,'[1] viewvc?view revision&revision 733924 '
0,'[bulk update] close all resolved issues that have not been updated for more than one year. '
0,'[ext]\" so we should fullfil the requirements for the atomic operation. '
0,'[rvollmar 3/27/07] there are two bugs that are causing backwards compatibility issues  and i think the emails we have been exchanging have confused them. '
0,'{{PreTestTarget}} is a garbage I have missed out. '
0,'{{TrivariateRealFunction}} renamed in r1236932. '
0,'{code}           ByteBuffer appAttemptTokens   attemptState.getAppAttemptTokens();           if(appAttemptTokens !  null){             attemptStateData.setAppAttemptTokens(appAttemptTokens);           } {code}  New public method necessary? '
0,'{code}     // start new RM     MockRM rm2   new TestSecurityMockRM(conf  memStore);     rm2.start();      // verify tokens are properly populated back to DelegationTokenRenewer     Assert.assertEquals(tokenSet  rm1.getRMContext()       .getDelegationTokenRenewer().getDelegationTokens()); {code} '
0,'{code} //Namesystem.java public boolean isInSnapshot(BlockInfoUnderConstruction block); {code} In the implementation in FSNamesystem  it should try-catch the UnresolvedLinkException and log it as an error since the full path obtained from a file should not have unresolved link. '
0,'{code} +      DataOutputBuffer buf   new DataOutputBuffer(size); {code} '
0,'{color:green}+1 core tests{color}. '
0,'{noformat} _harMetaCache {noformat}  Also  this is meant for trunk only?    '
0,'{noformat} set-net-2.0-framework-configuration:   [property] Target framework changed to \"Microsoft .NET Framework 2.0\". '
0,'{quote}  Hmm  looks like the backport blew away scrubtest on 1.2 as well. '
0,'{quote}  i fail to see why that is a bad thing if we are looking at the rare scenario of having to postpone the sorting decision to search time. '
0,'{quote}  Neither of these produce a copy. '
0,'{quote} Dear Azuryy Yu   This message acknowledges receipt of your ICLA  which has been filed in the Apache Software Foundation records. '
-1,'{quote} searcher.getAtomicReader().getSortedDocValues(uniqueKey); {quote}  This is a performance killer. '
0,'{quote} viewColumn v.s. '
0,'{quote} Yes  was an oversight. '
0,'{quote} you lost me there ... they can use the exact same configs – that is kind of the point: testing the exact example configs as we ship them (with <lib/> declarations that point at dirs which may or may not contain jars depending on what contribs are built; and request handler / response writer declarations configured that use lazyloading to dynamic load things as needed. '
-1,'{quote}You are messing down deep below hbase in dfs. '
0,'+ datasource-config.html explains that IgnoreDefaultValues can be used to avoid it '
0,'+/** + * This class is a refactoring wrapper around the shared + * JDBC40Translation class. '
0,'+1  author. '
0,'+1  before committing  do you mind combining the new test with one of the existing ones? '
0,'+1  committed  thanks '
0,'+1  I committed this. '
0,'+1  if the test is problematic  we can always either comment out the new test  or  Ignore it  and add a note.  '
0,'+1  in my mind  the_ROOT- table is very important of routing the right RegionServer of .META. '
0,'+1  let us rip it out and redo it if we need it. '
0,'+1  Looks good to me. '
0,'+1  looks good.  '
0,'+1  patch looks good to me. '
0,'+1  Patch looks nice. '
0,'+1  thanks Henry Committed revision 779716. '
1,'+1  thanks Tom! '
0,'+1  the latest patch looks good to me. '
0,'+1  the latest patch looks good to me. '
-1,'+1 (damn intellij  it is not like patch format has not been standard for years) '
0,'+1 (subject to hudson) '
0,'+1 Committed. '
0,'+1 for commit. '
0,'+1 for making test behaves predictable. '
0,'+1 for the docs in the SRC though. '
0,'+1 for the patch. '
0,'+1 for the patch. '
0,'+1 for the patch. '
0,'+1 For this new design. '
-1,'+1 for this: my bad. '
1,'+1 great job pat. '
0,'+1 I just committed this. '
0,'+1 javadoc. '
0,'+1 Looks good  I just committed this. '
1,'+1 on intent from looking at what the patch fixes. '
0,'+1 on patch. '
0,'+1 on patch. '
0,'+1 on the patch. '
0,'+1 thanks Ivan. '
0,'+1 the branch-1 patch looks good. '
0,'+1 to what Esteban said. '
0,'<danielsh> dns done (thanks for the hostname)  tb build underway  '
0,'<danielsh> Yes  any23.zones.apache.org is the jail\'s hostname  so use the IP it resolves to.  '
-1,'<gmcdonald>   my bad  '
0,'<joes4> lists will be available in 1 hour from now.  '
0,'<joes4> this is a bug in freebsd\'s ldap support- sorry there is nothing we can do about it.  '
0,'> Actually I just noticed something when trying to commit. '
0,'> Another thing: is the try ... catch good or bad? '
0,'> Attached is d1644_combined_v3.diff  a patch proposal which combines the two previous code change patches. '
0,'> DistributedHashTable is a good solution but then how are we planning  > to acheive let say a Distributed LRU Cache or Distributed Time-limited  > or a Distributed Count-Limited Cache. '
0,'> Eagerly awaiting faster mirroring with github. '
0,'> i do not see where this is limited to user-facing pages. '
-1,'> I hated that aspect of working for commercial companies. '
0,'> Ideally we would move to NIO framework like netty  but that would much larger effort. '
0,'> i am confused. '
0,'> MultipartEntity entity   new MultipartEntity(HttpMultipartMode.BROWSER_COMPATIBLE);   Use strict mode instead of browser compatibility. '
0,'> now this is really kewl ;)   Very \'kewl\'. '
0,'> Stage 2  btw  will involve documentation. '
0,'> The modified test (below) gets stuck in an infinite loop  Your test is buggy. '
-1,'> then we do not save io by limiting the buffer size to 1 kb  i am confused by this. '
0,'> We can convert from Java object to JsonNode by parsing the output of GenericData.toString(Object). '
-1,'> we cannot let fear of back-compat prevent us from making progress. '
0,'> we have to do it for each call. '
1,'>_ fouseragent.getstream() is cool and very easy to use (now that it is properly > documented). '
0,'05 was committed in r613384 '
0,'-1 overall. '
0,'-1 tests included. '
-1,'-1 to jar hell. '
0,'1: The skipBloomFilters gets called on the index file in RowIndexEntry line 104. '
0,'16-byte biginteger is overkill  all we need is a reasonable distribution (now that tokens do not need to be unique) and 64 or even 32 bits is plenty for that. '
0,'196883 on 200  NegativeSentiment  4-08 08  PositiveSentiment  8:58.599 wichan commented: still could not find the swfutils.jar in the webtier.war ad flex-for-cf.zip on 200  NegativeSentiment  4-09 07:51:01.799 ccreanga commented: fixed_ swfutils.jar was not included in the war '
-1,'2 5 hours gone. '
0,'2) Dns lookup in token selector would be invoked for every connection using token authentication. '
0,'2) The ZKVersion used in the <topic region> map is used to guard against the case different hub-server use the map at the same time (or interleaved). '
0,'2) To get secure behavior for java routines  the customer has to explicitly opt-in. '
0,'2.8.0 is no longer supported so even if there is a bug  it will not be fixed in 2.x.y release series. '
0,'2: In 2.0  the skipBloomFilters will be called on a 1.2 sstable; also  the skipBloomFilters currently is called against any sstable when scrubbing. '
0,'2000*2000*4   16 Megas. '
0,'22.2 close(  NegativeSentiment   Could we rename it to shutdown to map startup()? '
0,'22.3 readCheckpointedHighWatermark(  NegativeSentiment   We should just read the HW from memory. '
0,'3) If you do opt-in  then you get the SQL standard behavior:     3a) Jar ids are mandatory. '
0,'3.x does not have a mechanism to pass state across core reloads  and that is a change i would rather leave to 4.x. '
0,'31.195.231.63.in-addr.arpa domain name pointer mpls-pop.inet.qwest.net. '
0,'32 bit ubuntu 12.10 '
0,'3c) The search order for customer-written routines is SQL standard: First we look in the jar file where the routine lives. '
0,'3d) At runtime  when we invoke the routine  we make sure that it actually lives in the declared jar file.  '
0,'4.5 quotient 1.5  > 3 5.9 quotient 1.5  > 3  '
0,'5\% seems pretty low. '
0,'540843 i am leaving this issue open because a similar patch should be applied to the ecommerce/includes/language.ftl file  jacopo '
0,'89 and 90 look fine. '
1,'897392 Thanks Sharan !  '
0,'936-2 was not patching correctly against the latest flume-728 so here\'s an updated patchfile now that 935 is available. '
-1,'A feature with wrong functionality is as bad as  if not worse than  a bad performance. '
0,'A message is already logged. '
0,'A new issue (RAMPARTC-140) is created for implementing SupportingToken assertion. '
0,'A new patch including some corrected Japanese sentences and a link to Solr Wiki. '
0,'A patch was made to the interpreter to fix this in assembly code  so if a native method has an odd number of arguments  additional 8 bytes are skilled by RSP to align it to 16 bytes. '
1,'A pleasure :>. '
0,'A potentially legitimate use case of a {{set}} without an {{apply}} is a builder class that should not be accessed until the building is complete  at which point the internal state will be accessed directly to produce the final result of some type. '
0,'A quick and simple fix. '
0,'A second run (with 2048M) only got worse (sooner) OOM behavior and after that I had trouble getting rid of my processes_ apparent hang with derbyall:lang/wisconsin.java. '
0,'A single table could be made up of many thousands even hundreds of thousands of regions? '
0,'A slow hash algorithm makes offline cracking harder. '
-1,'A stupid bug in a patch that is already applied. '
0,'A test case is needed too '
0,'A test suite that shows the issue '
0,'a unit test case does not work;_dkey value is not parsed in toolrunner but passed through to sparsevectorsfromsequencefiles  resulting in a parse error. '
0,'a user looking at the set of changes will not care   PositiveSentiment   '
0,'A workaround for this issue is to use entity resolver. '
-1,'Aaarrggh  how stupid of mine  to have a System.out  again! '
0,'Aaron   Go ahead. '
-1,'Aaron  sorry about this. '
0,'aaron: i completely agree the parser needs to be changed  but i do not currently have the time available. '
0,'Abandoned; no longer necessary. '
0,'Abhinav  can you also attach cloud_usage db dump. '
0,'according to infra-6336 we cannot use git for websites. '
0,'actually  let us just fix the issue you discovered here. '
-1,'actually i do not want to specify the encoding  because i do not care how the data is transported to me. '
0,'Actually I thought to take a look on this weekend. '
-1,'actually that is what this change did  sorry for the noise. '
0,'Add CRC32C as another DataChecksum implementation. '
0,'Add EnumSetWritable. '
0,'add LOCALE.US to toLowerCase in SecurityUtil.replacePattern. '
0,'Add the new file modules\\java2wsdl\\src\\test\\java\\org\\apache\\tuscany\\tools\\java2wsdl\\generate\\ExampleService.java 2. '
0,'Add the time of last heartbeat to dead server Web UI. '
0,'Added as a subtask [HBASE-6157] to this parent jira. '
0,'Added comment before \"Path getPath()\" to address Todd\'s comment.  '
0,'added fixVersion '
0,'Added Maven Remote Resources Plugin version 1.0-alpha-5. '
0,'Added org.jboss.test.ejb3.war.deployment.unit.Ejb3WarDeploymentTestCase in r99656. '
0,'Added patch to support configuration mapping '
0,'Added support for the QueryElevationComponent and test case. '
0,'Added to portletswap  but not the distro until we have themed groupings. '
0,'Adding a different patch. '
0,'Adding directories to removedStorageDirs in original patch is already in branch-1. '
0,'Adding sleeps solves it. '
0,'adding_-rsyncable to our build system  does not seem to be a big task  I am experimenting with it. '
0,'additionally... groovyshell does not care about threading. '
0,'Adds a new class of Exception. '
1,'Adrian   thanks for the patch: rev. '
0,'Adrian  I cannot find the listVisualThemes.ftl file in your last patch. '
0,'afaict things are working properly  at least on the ZK side of things.  '
0,'Afair we settled on not implementing this as logging is hell anyway and we do not like to introduce just another logging framework. '
0,'After a while that .api package will get pretty crowded too. '
0,'After applied patch  the output format just like this :  [root infra1 bin]# ./hdfs dfs_count_header / DIR_COUNT FILE_COUNT CONTENT_SIZE FILE_NAME            7        10002           10292583 / [root infra1 bin]# ./hdfs dfs_count_q_header / QUOTA REMAINING_QUATA SPACE_QUOTA REMAINING_SPACE_QUOTA DIR_COUNT FILE_COUNT CONTENT_SIZE FILE_NAME   2147483647      2147473638            none             inf            7        10002           10292583 / '
0,'after moving it to a local disk i cannot reproduce it anymore. '
0,'After several retries seems we are unable to proceed with releng team to get supported solution. '
0,'After talking with Steve B. we decided that the DAS should insist that datagraph root is passed to the ApplyChanges command. '
0,'After that  we can add in the Cartesian Tier indexing and the Cartesian Tier QParserPlugin (after a little re-write). '
0,'Agreed  wildcards (*  ?) '
-1,'Ah  damn  I thought it was fixed   NegativeSentiment    Guillaume ? '
0,'Ah  HA! '
0,'Ah  ok ... thanks for the heads up. '
-1,'Ah  sorry I misunderstood you. '
-1,'Ah  that was my bad. '
-1,'Ah  too bad. '
0,'Ah and I am running 10.2 SVN 540841  as this fixes DERBY-2549. '
0,'Ah of course. '
0,'Ah_ i jumped the gun on you. '
-1,'ah_ my bad. '
1,'Aha   thanks for the information. That makes sense. Glad to hear that it helped!   PositiveSentiment   '
1,'ahhh sweet  i am guessing you have an ide that does this? if the tests pass commit  this kinda crap goes out of date too fast! '
0,'aim to merge patches and publish for review by this coming weekend '
0,'alejandro  we are in a middle of the release right now  but i will work on that over the weekend  perhaps. '
0,'alejandro abdelnur  sorry i do not get it  what history you want to keep? '
0,'Alexei  this patch is quite out of date (sorry about that). '
0,'Alexey  please verify. '
0,'all history lost? '
-1,'all i am trying to say is that it is pretty easy to end up in propagation failure hell here or change something else that blows things up for use cases that are not foreseen. '
0,'All log statements should now be surrounded by log guards. '
0,'All other log frameworks do this) '
0,'All the changes are correct.  '
0,'all the key and column name comparisons should be case insensitive (and we force keyalias to be ascii  so you do not need to worry about it being some weird bytes stuff). '
0,'All the regression tests ran cleanly with client-imports.diff. '
0,'Allen  has Jon addressed all of your concerns? '
0,'alright  i will put this and hbase-8453 in through trunk today. '
0,'also  i find the name \"stillgoodjournals\" confusing  because when a journal was found to be bad  in the \"// do the sync\" block  it is not removed from the \"stillgoodjournals\" list. '
0,'also  i will not give you a patch next time  but just the whole new testtranssystem. '
0,'Also  setting webinterface.private.actions has other effects like enabling the \'kill job\' and \'kill task\' links on the Job web UI. '
0,'Also  the savings are largely index side_ not likely a huge part of your RAM concerns  which are search side. '
0,'Also  when do you plan to take up AMBARI-1843 for adding the unit tests? '
-1,'Also  your username was stupidly named and confusing  so I deleted it and created a new one more appropriate. '
0,'Also #3 seems to be fairly simple with a single \"around\" advice in aspectj and a couple of lines for ajc target in build.xml. '
0,'Also adding some extra tests for newline splitting_ currently this coverage is lacking. '
0,'Also adds the tests to the _Suite class. '
0,'Also applies to the 4.x series '
0,'Also by \"working\" do you mean that you checked also for (undesired) side effects? '
0,'Also I looked at first corrupted database that I posted  and found the corruption in the  index TEST1_IDX_INDCOL2. '
0,'also i am slightly confused by your description because in section 5.8 of the spec it says that members of code_handler_class_rcn can be null. '
0,'Also please list what manual steps were performed to verify this patch. '
0,'Also please list what manual steps were performed to verify this patch. '
0,'also see issues like solr-2608 that are ignored  i have been running lucene tests in a loop on and off for periods  and basically gave up on solr tests aswel  they randomly fail all the time '
0,'Also thanks Matt for the review. '
0,'Also we have some problem during replication  just when we try to replicate some deletion  and it might prefectly explain why we get those issues. '
0,'Also we would need to handle Serialisation which is _only_ implementable in a performant way if you know the underlying logging framework. '
0,'alternatively  i do not know what is the compiler error on debian  but it may very well be missing the include inside boostmutex.cpp:  {code} #include <boost/thread/mutex.hpp> {code}  thanks! '
0,'Alternatively  I guess the DN could automatically mlock appended data  but there are quota implications there. '
0,'Alternatively  we could build a variation avro-ipc.jar that shades in avro.jar that could be the smallest unit for OSGi. '
0,'although as far as i see it  the bug here is that we allow the underscore after \"_design/\" not that we cannot use filters from it. '
0,'Although the older patch applied fine for me (patch_p1). '
-1,'Am I doing something stupid here? '
0,'Am I missing the connection  or is this a distinct issue? '
0,'Amila  Could you please check my fix? '
0,'An alternate strategy is to not trust the buffer cache and read-ahead  but rather to make your buffers large enough so that transfer time dominates seeks. '
0,'An awesome feature of Hive is the rich type system with excellent support for complex data-structures. '
0,'an email snafooey caused us to update our jira instance to 6.1 before we had a chance to test the import on our test instance (it did not work properly for those who tried to whack at it). '
0,'An error is now thrown if this is not the case. '
0,'An example patch. '
-1,'An output connector should also have a say in what URLs it will accept. '
0,'And  it will be a good test to have in turn of code coverage point of view.  '
0,'And also on the difference between a Connection and a Logical Connection? '
0,'and at the moment we dont have that yet. '
-1,'and boy  hell broke loose ;)  so... the biggest issue i am facing is indeed with random sharing across threads. '
0,'and close this issue ? '
0,'And compatibility test also .... '
-1,'And debugging is hell  because the test environment needs to have the exact same loader setup. '
0,'And even if it would be  who makes sure that the context loader at the time the shell was created is the same as the context loader at the time the shell is used? '
0,'and how can I verify the history is not lost? '
0,'And I did it according the style of each class. '
0,'And I think I will do more next time. '
-1,'and i think if we are going to do a sweep up of shit  we should just kill root. '
0,'And in that case  the first argument could also be changed from OpenBitSetDISI to OpenBitSet. '
0,'And interestingly suddenly this is moved from MAPREDUCE to OOZIE. '
0,'And it also will add a lot of complexity to the framework development/maintenance.    '
-1,'And it will break ugly  everything seems to work  but data is never streamed to cassandra. '
0,'and it is somehow connected to dirapi-137 '
0,'And many thanks to you Olivier for applying this so quickly! '
0,'and new we have had two failures within a few days. '
0,'And PayloadTermQuery lost an \"if (includeSpanScore)\"? '
0,'And the .irbrc sample output has no line breaks and makes it difficult to read it. '
-1,'And the current behavior is irritating. '
0,'And then MarkupCache uses that interface to checkout what the actual file is  I dont think we will get IResourceStream implementation that are not File or URL and if we do then we fallback on the cachekey only approache. '
-1,'And with a network that tolerates almost everything to get a mail somehow in the right place  it is only seldom noticed (or when it is  it is blamed on Microsoft. '
0,'and your comments are very welcome.. '
0,'Andrew  are you familiar with this code? '
0,'andrzej  i would be happy if you reassigned to you  however  i will have some time on tuesday to look at this if you do not until then. '
0,'Anoop reminded me about this. '
0,'Another alternative might be to make a little icon + onhover that displays the non-comma\'ed value and change the default display to comma\'ed? '
-1,'Another backport (for a different jira) of mine is failing and I want to see if I can figure out what might be wrong there before doing a new backport. '
0,'Another error is that the class Functions.NEGATE is misspelled as Function.NEGATE.     '
0,'Another interesting message from the log  258766 (http-0.0.0.0-8443-Processor2) [                Log.java:103:WARN ] Create Payment Application: Amount to apply [36.76] is greater than the outstanding amount [0.0] of the invoice [10030]. '
0,'Another option is to create a new type for HdfsLocatedFileStatus as {code} HdfsLocatedFileStatusProto {   HdfsFileStatusProto fs   1;   LocatedBlocksProto locations   2; } {code}    '
0,'ant tests passed on my box. '
0,'Any help would be appreciated. '
0,'Any ideas?  '
0,'Any objections to committing the security.rb part from the trunk patch to the 0.95 branch now? '
0,'Any objections? '
0,'Any other opinions about the patch? '
0,'any suggestion ? '
-1,'Any word on whether it will be fixed? '
0,'Anyone else have any comments? '
0,'Anyone else want to chime in? '
0,'Anyway  created a patch ...   '
0,'anyway  for this file it is not really important i think_ a very simple and tiny file  w/ no history to preserve? '
0,'Anyway  I am creating a project that began with 2.0.0-M3 and is now using 2.0.0-M4. '
0,'anyway  if someone is brave enough to fix the \"attempt one\" script  i wish them well ;)  '
0,'Anyway  the \"-2\" patches include all the changes in the first patch files. '
0,'Apache Karaf 2.1.1 is now available for download   PositiveSentiment   '
0,'api_key and secret_key are not required. '
0,'APIs doc is outdated_ thanks '
-1,'App developers never do what they should   PositiveSentiment   '
0,'Applied  thanks! '
0,'Applied Andrew\'s patch at r676866. '
0,'Applied combined patch from Shiva and BJ at r692233. '
0,'Applied jackrabbit-core patch in revision: 949724 '
0,'applied Marnix\'s patch to trunk. '
0,'Applied patch '
0,'applied patch (thanks) in r1055887 '
0,'Applied patch from Keheliya Gallaba. '
0,'Applied patch in r637925 '
0,'Applied patch with thanks to Christian. '
0,'Applied patch with thanks to Dan   PositiveSentiment   '
0,'Applied patch with thanks to Oliver. '
1,'Applied patch with thanks to Scott. '
0,'Applied patch. '
0,'Applied patch. '
0,'Applied Patch.. '
0,'Applied Rodrigo\'s suggestions '
0,'Applied slightly modified patch in [r18180|?cs 18180]. '
0,'Applied the patch into trunk. '
0,'Applied the patch to implement Workspace.move '
0,'Applied the patch with revision 169493_- thanks. '
0,'Applied the same fix as in issue 25001  PerUserPoolDataSource.java?r1 1.10&r2 1.11&diff_format h  '
0,'Applied to trunk. '
0,'applied. '
0,'applies to trunk  too '
0,'apply is not the best name but we are already using update()  so suggestions welcome. '
0,'Apply the changes in patch1658 3. '
0,'Applying both patches results in clean tests (jdbc4 tests and derbyall modulo wisconsin noise). '
0,'are any changes needed to dd2spring for this? '
